k_folds,norm,average test loss,average train loss:,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss:
12,none,17.0952381,68.0952381,,21,20,22,22,13,13,14,23,12,11,23,22,18,22,22,12,7,10,11,20,21,,17.0952381,,79,77,80,81,56,58,67,82,56,42,79,79,86,81,81,66,46,41,55,72,66,,68.0952381
13,min_max,16.47619048,74.76190476,,19,14,16,20,17,17,17,17,17,17,13,17,18,18,17,13,17,17,12,17,16,,16.47619048,,73,55,60,78,85,84,84,84,73,85,61,79,79,77,85,62,84,85,64,74,59,,74.76190476
13,z_score,9.857142857,44.85714286,,9,10,10,11,10,11,11,10,9,7,9,10,10,8,10,11,9,9,13,9,11,,9.857142857,,41,40,40,37,46,39,48,42,53,59,43,42,37,40,43,45,42,41,71,41,52,,44.85714286
13,none,16.14285714,65.76190476,,21,12,17,22,24,21,31,13,18,7,17,21,10,10,22,11,9,6,17,18,12,,16.14285714,,79,60,69,80,82,74,124,67,62,39,74,68,53,48,80,51,43,35,85,61,47,,65.76190476
14,min_max,15.38095238,69.28571429,,14,17,17,14,14,12,13,12,17,14,17,18,17,17,17,17,13,18,13,18,14,,15.38095238,,60,61,84,58,56,63,57,60,70,56,85,75,80,72,75,84,60,82,63,84,70,,69.28571429
14,z_score,10.04761905,42.42857143,,9,9,11,11,11,11,10,10,8,11,10,11,8,10,10,12,12,7,11,9,10,,10.04761905,,45,44,38,43,42,42,39,41,44,42,41,38,48,56,37,40,44,47,37,44,39,,42.42857143
14,none,16.76190476,71.9047619,,17,16,7,14,24,5,18,15,12,23,18,14,22,22,14,23,11,13,21,21,22,,16.76190476,,82,78,51,67,90,51,79,66,68,81,70,72,78,81,63,85,70,55,69,73,81,,71.9047619
15,min_max,14.85714286,67.04761905,,13,14,17,12,12,14,13,17,18,12,17,12,13,17,18,16,17,12,17,17,14,,14.85714286,,56,73,84,54,50,55,55,83,76,58,73,59,60,74,67,71,72,53,85,84,66,,67.04761905
15,z_score,10,43.66666667,,12,10,12,8,10,12,10,9,11,9,11,8,10,8,9,11,10,9,9,11,11,,10,,45,39,47,51,40,44,40,42,40,44,38,49,42,51,48,43,39,44,48,45,38,,43.66666667
15,none,15.33333333,63.14285714,,22,10,10,22,5,23,10,6,14,13,22,19,23,9,22,13,19,18,14,17,11,,15.33333333,,81,48,46,90,40,82,50,58,58,60,80,77,76,47,80,59,72,67,48,67,40,,63.14285714
16,min_max,15.57142857,71.47619048,,14,17,11,17,13,18,13,16,17,18,12,17,17,16,17,15,17,17,14,17,14,,15.57142857,,57,84,55,74,57,77,59,84,83,84,58,87,82,76,75,69,69,78,59,72,62,,71.47619048
