k_folds,norm,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
35,none,50,12,44,13,38,4,70,18,41,9,65,8,49,10,41,7,67,15,71,18,47,10,58,14,78,21,36,9,78,21,39,12,,,45,5,62,14,50,9,45,10
36,min_max,73,16,77,17,74,17,59,12,64,14,65,12,70,17,67,12,71,16,60,13,83,18,81,18,73,17,76,17,58,14,60,12,,,61,14,69,15,75,17,59,13
36,z_score,40,10,41,9,42,9,40,11,41,9,46,9,42,9,39,11,42,8,39,9,42,10,42,9,51,10,46,10,42,8,37,11,,,40,8,39,11,45,11,44,9
36,none,57,13,65,14,48,7,60,13,48,6,51,10,50,10,40,7,62,14,81,22,60,8,74,19,77,21,50,10,70,16,78,21,,,47,11,57,12,47,7,62,7
37,min_max,65,14,59,13,84,17,57,13,55,12,70,17,72,17,68,15,56,13,61,12,65,14,56,13,68,14,59,14,70,17,62,13,,,68,14,84,17,65,12,61,14
37,z_score,44,11,42,11,41,9,40,8,41,10,41,10,40,11,40,12,39,11,39,11,42,9,41,10,41,10,46,9,43,9,38,10,,,46,9,38,10,45,9,38,11
37,none,63,16,68,16,40,11,60,14,77,18,72,21,43,7,65,16,36,9,40,11,77,18,47,10,53,7,63,14,57,12,42,9,,,41,9,46,10,68,16,62,6
38,min_max,72,17,72,14,66,14,61,13,85,17,67,13,59,14,79,17,84,17,60,12,66,15,69,16,71,16,70,13,58,14,70,16,,,83,16,67,13,65,12,57,13
38,z_score,38,10,42,9,38,11,41,11,46,9,39,10,40,10,42,8,44,9,41,8,45,11,41,9,46,8,39,10,41,10,41,10,,,40,11,41,11,41,9,41,9
38,none,62,13,40,10,50,12,66,20,62,14,50,12,43,12,75,19,64,16,46,7,42,8,36,6,52,5,81,22,44,10,40,10,,,60,13,40,7,76,21,46,9
39,min_max,77,17,82,17,75,17,73,17,80,17,74,17,74,17,76,17,63,13,58,13,60,14,58,13,64,14,80,18,75,17,73,16,,,63,14,79,18,76,17,59,14
39,z_score,41,9,43,10,38,11,38,10,43,10,38,11,39,11,39,10,42,9,38,11,43,10,39,9,40,9,44,9,42,10,39,11,,,38,10,46,9,42,9,41,11
39,none,58,14,56,8,51,12,48,6,44,5,48,5,78,21,41,12,49,7,63,12,47,10,59,16,74,18,43,9,72,17,63,14,,,52,10,81,22,57,12,72,21
40,min_max,77,17,75,17,70,17,62,14,71,16,71,13,69,16,69,12,67,12,71,15,77,17,70,14,67,14,78,17,60,13,55,12,,,75,17,71,17,60,12,69,14
40,z_score,40,9,43,10,45,10,41,9,47,11,47,8,40,11,39,10,45,9,39,11,38,10,41,9,45,9,46,11,41,9,36,11,,,39,11,38,11,40,10,47,9
40,none,59,13,56,13,73,18,67,15,80,22,47,6,40,10,46,9,69,21,55,12,53,5,37,11,41,11,46,7,50,12,67,14,,,43,4,55,13,60,13,77,21
41,min_max,63,12,71,17,72,18,78,17,73,17,73,17,60,13,75,17,74,17,72,17,63,14,73,16,60,13,66,12,68,14,84,17,,,63,14,66,12,55,11,56,12
41,z_score,38,11,38,11,39,12,44,9,40,9,38,10,38,10,42,9,41,11,39,10,44,11,43,9,41,9,45,12,38,11,41,9,,,42,8,41,9,45,9,39,10
41,none,78,21,65,16,57,13,73,19,52,10,46,7,79,21,48,7,67,18,42,11,54,12,79,22,56,12,53,11,54,8,73,21,,,48,11,53,14,48,12,63,12
42,min_max,62,13,60,13,73,17,70,15,59,12,67,14,60,14,57,13,69,16,68,13,75,17,66,13,71,17,84,18,72,17,66,12,,,54,14,68,17,75,17,66,13
42,z_score,45,9,43,10,39,9,42,9,38,9,40,11,42,9,39,10,41,11,41,11,43,11,44,11,40,11,42,9,42,9,38,11,,,44,10,40,11,38,10,41,11
42,none,55,11,39,11,49,6,74,20,45,10,62,16,64,15,42,4,63,12,75,22,74,21,57,8,72,21,53,11,66,14,59,15,,,51,11,55,8,44,5,39,6
43,min_max,61,13,68,14,71,14,81,17,58,13,67,14,64,13,74,17,71,14,56,12,69,15,57,12,78,17,66,12,69,17,74,17,,,65,15,70,15,57,13,66,13
43,z_score,45,12,39,10,38,10,38,11,38,10,39,10,38,10,44,10,46,10,40,12,41,9,43,9,42,10,41,11,45,8,42,9,,,46,9,39,10,42,10,44,9
43,none,46,12,67,14,41,11,57,12,42,12,48,7,53,10,43,9,56,12,47,7,42,10,53,10,38,8,50,12,61,8,58,12,,,47,7,50,12,57,7,59,12
44,min_max,60,13,71,15,62,13,72,14,59,14,68,16,66,15,85,17,62,14,59,14,75,16,62,12,84,18,61,14,65,12,66,12,,,81,18,75,18,77,17,56,12
44,z_score,39,10,39,11,39,11,39,10,47,10,39,10,42,10,40,9,47,8,39,9,42,9,41,11,42,9,42,11,43,10,44,9,,,41,9,38,10,39,11,40,9
