k_folds,norm,eta,lambda,train loss,test loss
3,none,0.6,0.8,161,39
3,none,0.6,0.9,162,38
3,none,0.6,1.0,161,39
3,none,0.7,0.1,157,43
3,none,0.7,0.2,157,43
3,none,0.7,0.3,157,43
3,none,0.7,0.4,162,38
3,none,0.7,0.5,162,38
3,none,0.7,0.6,157,43
3,none,0.7,0.7,157,43
3,none,0.7,0.8,162,38
3,none,0.7,0.9,161,39
3,none,0.7,1.0,161,39
3,none,0.8,0.1,157,43
3,none,0.8,0.2,162,38
3,none,0.8,0.3,162,38
3,none,0.8,0.4,161,39
3,none,0.8,0.5,161,39
3,none,0.8,0.6,161,39
3,none,0.8,0.7,157,43
3,none,0.8,0.8,157,43
3,none,0.8,0.9,161,39
3,none,0.8,1.0,161,39
3,none,0.9,0.1,157,43
3,none,0.9,0.2,161,39
3,none,0.9,0.3,161,39
3,none,0.9,0.4,162,38
3,none,0.9,0.5,161,39
3,none,0.9,0.6,162,38
3,none,0.9,0.7,161,39
3,none,0.9,0.8,161,39
3,none,0.9,0.9,157,43
3,none,0.9,1.0,157,43
3,none,1.0,0.1,162,38
3,none,1.0,0.2,157,43
3,none,1.0,0.3,157,43
3,none,1.0,0.4,161,39
3,none,1.0,0.5,161,39
3,none,1.0,0.6,161,39
3,none,1.0,0.7,157,43
3,none,1.0,0.8,162,38
3,none,1.0,0.9,162,38
3,none,1.0,1.0,157,43
4,min_max,0.1,0.1,79,21
4,min_max,0.1,0.2,79,21
4,min_max,0.1,0.3,79,21
4,min_max,0.1,0.4,99,28
4,min_max,0.1,0.5,79,21
4,min_max,0.1,0.6,79,21
4,min_max,0.1,0.7,125,38
4,min_max,0.1,0.8,155,43
4,min_max,0.1,0.9,92,25
4,min_max,0.1,1.0,81,23
4,min_max,0.2,0.1,79,22
4,min_max,0.2,0.2,79,21
4,min_max,0.2,0.3,122,31
4,min_max,0.2,0.4,122,32
4,min_max,0.2,0.5,157,43
4,min_max,0.2,0.6,129,39
4,min_max,0.2,0.7,79,21
4,min_max,0.2,0.8,109,21
