k_folds,norm,eta,train loss,test loss
13,min_max,0.9,8,4
13,min_max,1.0,8,4
13,z_score,0.1,7,4
13,z_score,0.2,6,4
13,z_score,0.3,8,4
13,z_score,0.4,11,4
13,z_score,0.5,7,3
13,z_score,0.6,7,4
13,z_score,0.7,9,3
13,z_score,0.8,9,4
13,z_score,0.9,8,4
13,z_score,1.0,10,4
13,none,0.1,61,19
13,none,0.2,37,9
13,none,0.3,46,13
13,none,0.4,79,23
13,none,0.5,81,22
13,none,0.6,60,17
13,none,0.7,58,11
13,none,0.8,59,16
13,none,0.9,81,22
13,none,1.0,44,11
14,min_max,0.1,11,4
14,min_max,0.2,8,3
14,min_max,0.3,9,4
14,min_max,0.4,10,2
14,min_max,0.5,10,4
14,min_max,0.6,7,4
14,min_max,0.7,10,4
14,min_max,0.8,8,4
14,min_max,0.9,8,4
14,min_max,1.0,7,4
14,z_score,0.1,8,3
14,z_score,0.2,8,3
14,z_score,0.3,10,4
14,z_score,0.4,8,2
14,z_score,0.5,10,4
14,z_score,0.6,6,4
14,z_score,0.7,4,4
14,z_score,0.8,7,4
14,z_score,0.9,9,4
14,z_score,1.0,9,4
14,none,0.1,71,13
14,none,0.2,78,22
14,none,0.3,83,23
14,none,0.4,42,6
14,none,0.5,77,16
14,none,0.6,44,5
14,none,0.7,53,12
14,none,0.8,87,24
14,none,0.9,83,23
14,none,1.0,85,18
15,min_max,0.1,8,4
15,min_max,0.2,9,4
15,min_max,0.3,7,4
15,min_max,0.4,11,4
15,min_max,0.5,8,4
15,min_max,0.6,7,4
15,min_max,0.7,8,4
15,min_max,0.8,9,2
15,min_max,0.9,7,4
15,min_max,1.0,8,4
15,z_score,0.1,8,3
15,z_score,0.2,8,4
15,z_score,0.3,6,3
15,z_score,0.4,6,3
15,z_score,0.5,7,4
15,z_score,0.6,6,4
15,z_score,0.7,6,3
15,z_score,0.8,5,4
15,z_score,0.9,9,4
15,z_score,1.0,9,4
15,none,0.1,79,22
15,none,0.2,52,18
15,none,0.3,79,22
15,none,0.4,79,21
15,none,0.5,81,22
15,none,0.6,40,4
15,none,0.7,73,20
15,none,0.8,47,9
15,none,0.9,92,24
15,none,1.0,70,20
16,min_max,0.1,8,4
16,min_max,0.2,8,4
16,min_max,0.3,8,4
16,min_max,0.4,8,4
16,min_max,0.5,7,4
16,min_max,0.6,9,4
16,min_max,0.7,8,4
16,min_max,0.8,7,4
16,min_max,0.9,8,4
16,min_max,1.0,9,3
16,z_score,0.1,5,3
16,z_score,0.2,6,4
16,z_score,0.3,8,3
16,z_score,0.4,8,3
16,z_score,0.5,5,3
16,z_score,0.6,9,4
16,z_score,0.7,7,4
16,z_score,0.8,8,4
16,z_score,0.9,6,3
16,z_score,1.0,6,3
16,none,0.1,86,18
16,none,0.2,81,22
16,none,0.3,76,21
16,none,0.4,69,15
16,none,0.5,50,11
16,none,0.6,45,9
16,none,0.7,71,20
16,none,0.8,76,21
16,none,0.9,38,9
16,none,1.0,68,18
17,min_max,0.1,7,4
17,min_max,0.2,9,4
17,min_max,0.3,7,4
17,min_max,0.4,8,4
17,min_max,0.5,7,4
17,min_max,0.6,6,4
17,min_max,0.7,8,4
17,min_max,0.8,9,4
17,min_max,0.9,10,2
17,min_max,1.0,8,3
17,z_score,0.1,8,3
17,z_score,0.2,7,4
17,z_score,0.3,9,4
17,z_score,0.4,7,3
17,z_score,0.5,5,3
17,z_score,0.6,8,4
17,z_score,0.7,7,3
17,z_score,0.8,10,4
17,z_score,0.9,8,4
17,z_score,1.0,8,4
17,none,0.1,66,11
17,none,0.2,81,22
17,none,0.3,74,21
17,none,0.4,82,23
17,none,0.5,88,24
17,none,0.6,79,21
17,none,0.7,65,16
17,none,0.8,90,24
17,none,0.9,68,19
17,none,1.0,78,22
18,min_max,0.1,8,4
18,min_max,0.2,11,4
18,min_max,0.3,9,4
18,min_max,0.4,9,4
18,min_max,0.5,7,4
18,min_max,0.6,9,4
18,min_max,0.7,8,4
18,min_max,0.8,9,4
18,min_max,0.9,8,4
18,min_max,1.0,11,5
18,z_score,0.1,8,4
18,z_score,0.2,8,4
18,z_score,0.3,9,4
18,z_score,0.4,8,3
18,z_score,0.5,8,4
18,z_score,0.6,8,4
18,z_score,0.7,5,4
18,z_score,0.8,8,3
18,z_score,0.9,8,4
18,z_score,1.0,8,4
18,none,0.1,72,21
18,none,0.2,51,11
18,none,0.3,92,24
18,none,0.4,55,12
18,none,0.5,79,22
18,none,0.6,53,11
18,none,0.7,81,23
18,none,0.8,54,10
18,none,0.9,67,16
18,none,1.0,74,17
19,min_max,0.1,9,4
19,min_max,0.2,8,4
19,min_max,0.3,7,4
19,min_max,0.4,11,2
19,min_max,0.5,8,4
19,min_max,0.6,10,4
19,min_max,0.7,7,4
19,min_max,0.8,10,4
19,min_max,0.9,9,4
19,min_max,1.0,9,4
19,z_score,0.1,11,4
19,z_score,0.2,7,4
19,z_score,0.3,6,4
19,z_score,0.4,6,3
19,z_score,0.5,9,2
19,z_score,0.6,8,3
19,z_score,0.7,7,3
19,z_score,0.8,8,4
19,z_score,0.9,9,4
19,z_score,1.0,11,4
19,none,0.1,83,23
19,none,0.2,66,15
19,none,0.3,77,21
19,none,0.4,85,22
19,none,0.5,85,24
19,none,0.6,42,9
19,none,0.7,78,21
19,none,0.8,81,22
19,none,0.9,81,22
19,none,1.0,59,8
20,min_max,0.1,9,4
20,min_max,0.2,10,2
20,min_max,0.3,8,4
20,min_max,0.4,9,4
20,min_max,0.5,9,4
20,min_max,0.6,9,4
20,min_max,0.7,9,4
20,min_max,0.8,9,4
20,min_max,0.9,7,4
20,min_max,1.0,8,4
20,z_score,0.1,10,4
20,z_score,0.2,6,4
20,z_score,0.3,8,4
20,z_score,0.4,6,4
20,z_score,0.5,9,3
20,z_score,0.6,8,4
20,z_score,0.7,9,4
20,z_score,0.8,5,3
20,z_score,0.9,6,3
20,z_score,1.0,8,3
20,none,0.1,63,14
20,none,0.2,59,13
20,none,0.3,58,14
20,none,0.4,70,17
20,none,0.5,57,10
20,none,0.6,72,20
20,none,0.7,73,18
20,none,0.8,46,10
20,none,0.9,62,13
20,none,1.0,44,10
