k_folds,norm,eta,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
2,z_score,0.61,13,3,13,4,12,3,9,4
2,z_score,0.62,11,4,9,3,6,3,7,3
2,z_score,0.63,12,2,10,4,11,3,11,4
2,z_score,0.64,8,3,12,6,15,7,9,3
2,z_score,0.65,14,4,14,3,9,4,10,3
2,z_score,0.66,14,3,12,4,13,4,14,3
2,z_score,0.67,12,2,10,4,14,2,12,6
2,z_score,0.68,13,7,11,4,14,3,11,5
2,z_score,0.69,15,3,13,4,11,3,11,7
2,z_score,0.7,12,4,8,4,10,4,12,2
2,z_score,0.71,12,4,10,6,15,2,12,6
2,z_score,0.72,12,3,8,2,10,4,12,3
2,z_score,0.73,11,4,10,3,12,3,11,2
2,z_score,0.74,10,3,15,3,17,3,9,7
2,z_score,0.75,14,2,15,4,10,3,12,4
2,z_score,0.76,11,3,16,3,11,4,11,4
2,z_score,0.77,11,5,9,3,13,2,11,3
2,z_score,0.78,8,3,9,4,14,3,13,5
2,z_score,0.79,13,3,12,6,9,4,11,2
2,z_score,0.8,13,5,12,5,11,4,13,4
2,z_score,0.81,14,3,11,3,13,3,10,4
2,z_score,0.82,13,3,14,3,13,6,9,4
2,z_score,0.83,14,3,15,3,11,4,8,4
2,z_score,0.84,10,4,6,3,10,4,12,5
2,z_score,0.85,13,5,12,4,12,4,11,2
2,z_score,0.86,11,4,9,4,13,6,15,5
2,z_score,0.87,12,3,11,3,10,3,9,4
2,z_score,0.88,12,3,8,4,12,4,8,3
2,z_score,0.89,8,4,10,3,12,2,10,4
2,z_score,0.9,12,3,11,3,13,4,16,3
2,z_score,0.91,11,3,7,3,10,3,10,4
2,z_score,0.92,12,3,13,3,12,4,10,4
2,z_score,0.93,8,4,11,2,7,3,12,5
2,z_score,0.94,11,4,13,3,12,6,17,2
2,z_score,0.95,13,2,9,4,8,3,12,3
2,z_score,0.96,11,2,13,5,11,4,11,2
2,z_score,0.97,9,3,12,3,14,2,16,2
2,z_score,0.98,10,2,9,4,11,6,7,4
2,z_score,0.99,14,5,8,2,14,7,12,3
2,z_score,1,10,4,11,4,10,3,18,2
2,none,0.01,76,16,161,39,161,39,87,18
2,none,0.02,162,38,79,22,161,39,157,43
2,none,0.03,55,19,88,18,79,22,156,43
2,none,0.04,79,22,161,39,136,37,80,22
2,none,0.05,138,34,81,22,79,22,161,39
2,none,0.06,151,39,84,20,139,34,129,37
2,none,0.07,91,23,159,37,153,43,99,25
2,none,0.08,77,26,79,22,156,43,156,36
2,none,0.09,81,23,157,43,91,17,161,38
2,none,0.1,139,40,120,30,80,22,93,25
2,none,0.11,161,39,161,39,81,22,79,22
2,none,0.12,123,30,81,23,115,34,92,27
2,none,0.13,162,38,79,22,160,39,140,38
2,none,0.14,63,19,154,43,125,32,79,22
2,none,0.15,130,32,148,36,79,23,162,38
2,none,0.16,162,38,81,23,157,43,143,34
2,none,0.17,92,24,150,41,82,28,79,22
2,none,0.18,85,25,79,22,81,22,161,39
2,none,0.19,84,23,153,43,145,36,157,43
2,none,0.2,51,9,162,38,162,38,95,24
2,none,0.21,75,15,162,38,118,31,156,43
2,none,0.22,162,38,156,36,130,37,93,27
2,none,0.23,114,28,160,37,161,39,83,24
2,none,0.24,79,22,161,39,162,38,156,43
2,none,0.25,76,26,81,22,66,19,79,22
2,none,0.26,145,35,94,28,161,38,118,30
2,none,0.27,161,38,94,25,121,36,92,24
